player,recommendations
Carlos Boozer,Restricted Area: Maintain Frequency; Left Paint (Non-RA): Shoot More; Right Paint (Non-RA): Shoot More; Left Mid-Range: Shoot More
Dwight Buycks,Left Corner 3: Shoot More; Left Paint (Non-RA): Shoot More; Right Corner 3: Shoot More; Right Paint (Non-RA): Shoot More
Ed Davis,Restricted Area: Maintain Frequency; Right Paint (Non-RA): Shoot More; Left Paint (Non-RA): Shoot More
Jabari Brown,Right Corner 3: Shoot More; Left Above the Break 3: Shoot More; Left Mid-Range: Shoot More; Restricted Area: Shoot Less
Jeremy Lin,Right Corner 3: Shoot More; Restricted Area: Shoot Less; Left Corner 3: Shoot More; Left Paint (Non-RA): Shoot More
Jordan Clarkson,Right Above the Break 3: Shoot More; Left Above the Break 3: Shoot More; Right Corner 3: Shoot More; Restricted Area: Shoot Less
Jordan Hill,Left Corner 3: Shoot More; Restricted Area: Maintain Frequency; Right Paint (Non-RA): Shoot More; Left Mid-Range: Maintain Frequency
Julius Randle,Right Paint (Non-RA): Maintain Frequency; Restricted Area: Shoot Less; Right Mid-Range: Shoot Less
Kobe Bryant,Restricted Area: Shoot Less; Left Corner 3: Shoot More; Right Mid-Range: Shoot More; Right Corner 3: Shoot Less
Nick Young,Right Above the Break 3: Shoot More; Right Corner 3: Shoot More; Left Corner 3: Maintain Frequency; Restricted Area: Shoot Less
Robert Sacre,Right Mid-Range: Shoot More; Restricted Area: Shoot Less; Left Paint (Non-RA): Shoot Less; Right Paint (Non-RA): Shoot Less
Ronnie Price,Right Above the Break 3: Shoot More; Right Paint (Non-RA): Shoot More; Restricted Area: Shoot Less; Left Corner 3: Shoot Less
Ryan Kelly,Right Above the Break 3: Shoot More; Restricted Area: Shoot Less; Right Corner 3: Shoot Less; Left Corner 3: Shoot Less
Tarik Black,Restricted Area: Maintain Frequency; Left Mid-Range: Shoot Less; Right Mid-Range: Shoot Less; Right Paint (Non-RA): Shoot Less
Vander Blue,Left Corner 3: Shoot More; Restricted Area: Shoot Less; Left Mid-Range: Shoot Less; Right Corner 3: Shoot Less
Wayne Ellington,Left Above the Break 3: Shoot More; Right Above the Break 3: Shoot More; Restricted Area: Shoot Less; Right Corner 3: Maintain Frequency
Wesley Johnson,Left Above the Break 3: Shoot More; Restricted Area: Shoot More; Left Corner 3: Shoot More; Right Corner 3: Shoot Less
Xavier Henry,Left Paint (Non-RA): Shoot More; Right Mid-Range: Shoot More; Restricted Area: Shoot Less; Left Mid-Range: Shoot Less
